user_id,trimmed_tweet,original_tweet
160395699,In March of 2016 #Mesa Police Officer #PhilipBrailsford was charged with #seconddegreemurder for gunning down #DanielS,"RT @AttorneyGriggs: In March of 2016, #Mesa Police Officer #PhilipBrailsford was charged with #seconddegreemurder for gunning down #DanielS…"
27338935,That's just ridiculous #PhilipBrailsford go and handcuff the man instead of making him crawl If this is not police i,"RT @MassimoBalloni: That's just ridiculous. #PhilipBrailsford, go and handcuff the man instead of making him crawl. If this is not police i…"
355555342,If America Leads the war on Terror Then why does the Coward Cop #PhilipBrailsford many just like him NOT have,If America Leads the war on Terror.. Then why does the Coward Cop #PhilipBrailsford (&amp; many just like him) NOT have… https://t.co/NViWXSQMpN
997943130,This is beyond disturbing The murderers name is #PhilipBrailsford he was found not guilty This is appalling #DanielShaver,RT @SunnyJ2D2: This is beyond disturbing. The murderer’s name is #PhilipBrailsford he was found not guilty. This is appalling #DanielShaver…
997943130,Officer #PhilipBrailsford IS A MURDERER,RT @EstebanEscamill: Officer #PhilipBrailsford IS A MURDERER. https://t.co/bm2s7LDwaI
997943130,The acquittal of #PhilipBrailsford in the shooting of #DanielShaver is absolute insanity I have seen the video unfort,RT @ItsHeckinChris: The acquittal of #PhilipBrailsford in the shooting of #DanielShaver is absolute insanity. I have seen the video (unfort…
842837134247510016,In March of 2016 #Mesa Police Officer #PhilipBrailsford was charged with #seconddegreemurder for gunning down #DanielS,"RT @AttorneyGriggs: In March of 2016, #Mesa Police Officer #PhilipBrailsford was charged with #seconddegreemurder for gunning down #DanielS…"
228437789,In March of 2016 #Mesa Police Officer #PhilipBrailsford was charged with #seconddegreemurder for gunning down #DanielS,"RT @AttorneyGriggs: In March of 2016, #Mesa Police Officer #PhilipBrailsford was charged with #seconddegreemurder for gunning down #DanielS…"
2733762699,This is the asshole whose maniacal voice you hear in the #PhilipBrailsford video #charleslangley a real piece of s,"This is the asshole whose maniacal voice you hear in the #PhilipBrailsford video, #charleslangley a real piece of s… https://t.co/vniHGh2RFn"
2303671104,In March of 2016 #Mesa Police Officer #PhilipBrailsford was charged with #seconddegreemurder for gunning down #DanielS,"RT @AttorneyGriggs: In March of 2016, #Mesa Police Officer #PhilipBrailsford was charged with #seconddegreemurder for gunning down #DanielS…"
476038946,Phil Brailsford a murderer a bully and a cunt #PhilipBrailsford,"RT @Duran_Is_God: Phil Brailsford - a murderer, a bully and a cunt. #PhilipBrailsford https://t.co/3DburYczkP"
476038946,Officer #PhilipBrailsford IS A MURDERER,RT @EstebanEscamill: Officer #PhilipBrailsford IS A MURDERER. https://t.co/bm2s7LDwaI
476038946,The acquittal of #PhilipBrailsford in the shooting of #DanielShaver is absolute insanity I have seen the video unfort,RT @ItsHeckinChris: The acquittal of #PhilipBrailsford in the shooting of #DanielShaver is absolute insanity. I have seen the video (unfort…
476038946,Piece of shit #PhilipBrailsford,Piece of shit #PhilipBrailsford https://t.co/bqqVSiImPN
847491226869809157,In March of 2016 #Mesa Police Officer #PhilipBrailsford was charged with #seconddegreemurder for gunning down #DanielS,"RT @AttorneyGriggs: In March of 2016, #Mesa Police Officer #PhilipBrailsford was charged with #seconddegreemurder for gunning down #DanielS…"
847491226869809157,Every vid I've seen once a suspect is shot the cops secure them for the suspected weapon #PhilipBrailsford rushed past #,"RT @brianparra: Every vid I've seen, once a suspect is shot, the cops secure them for the suspected weapon. #PhilipBrailsford rushed past #…"
847491226869809157,If #PhilipBrailsford can get away with the barbaric murder of poor #DanielShaver on video one of the worst things I've ever,RT @jlofts20: If #PhilipBrailsford can get away with the barbaric murder of poor #DanielShaver on video - one of the worst things I've ever…
873973794431537154,I know violence isn't the answer but someone needs to get #PhilipBrailsford and put a good ass whoopin to the mf Jus,"RT @ThePedroSalas_: I know violence isn't the answer but, someone needs to get #PhilipBrailsford and put a good ass whoopin' to the mf. Jus…"
873973794431537154,This really should be shared#MesaPD already had warning signs video of #PhilipBrailsford s violent tendencies he shoul,"RT @despayre_: This really should be shared
#MesaPD already had warning signs &amp; video of #PhilipBrailsford ‘s violent tendencies &amp; he shoul…"
44563979,This is everything that is wrong with the police in our country Convict #philipbrailsford or make him pay the family with a,RT @sebroche: This is everything that is wrong with the police in our country . Convict #philipbrailsford or make him pay the family with a…
356946327,For the record this is #PhilipBrailsford Put a face to the monster that murdered #DanielShaver and got away with it,"RT @DavidBertone21: For the record, this is #PhilipBrailsford . Put a face to the monster that murdered #DanielShaver and got away with it…"
724206168,This is everything that is wrong with the police in our country Convict #philipbrailsford or make him pay the family with a,RT @sebroche: This is everything that is wrong with the police in our country . Convict #philipbrailsford or make him pay the family with a…
1440374666,Im not sure you know what it is Aron you commented on this on other posts about this c,"@Aron_Howell @markgeragos I’m not sure you know what it is, Aron (you commented on this on other posts about this c… https://t.co/8qgDLmX9aK"
41475204,Every vid I've seen once a suspect is shot the cops secure them for the suspected weapon #PhilipBrailsford rushed past #,"RT @brianparra: Every vid I've seen, once a suspect is shot, the cops secure them for the suspected weapon. #PhilipBrailsford rushed past #…"
554543406,Pretty sure I saw that one Serbian from Taken Hans Gruber as well as #JasonStockley and #PhilipBrailsford,"RT @fuckLAfans: Pretty sure I saw that one Serbian from Taken, Hans Gruber, as well as #JasonStockley and #PhilipBrailsford. https://t.co/E…"
326647852,We have seen the body cam footage of #DanielShaver being executed by #PhilipBrailsford Yet people wonder why some kneel,"RT @Adultingsux1: We have seen the body cam footage of #DanielShaver being executed by #PhilipBrailsford. Yet people wonder why some kneel,…"
917165607359049728,Shot 5 times Unarmed begging for his life on his hands and knees #PhilipBrailsford,"RT @Attaphia: @TiGGyZTweetZ @Penthos @shomaristone Shot 5 times.

Unarmed, begging for his life on his hands and knees.

#PhilipBrailsford…"
92216019,Whew so this bad egg has had a history of mistreating those in his custody or those he arrest #DanielShaver,Whew so this bad egg has had a history of mistreating those in his custody or those he arrest. #DanielShaver… https://t.co/WR99kyKt7Y
2700712292,Phil Brailsford a murderer a bully and a cunt #PhilipBrailsford,"RT @Duran_Is_God: Phil Brailsford - a murderer, a bully and a cunt. #PhilipBrailsford https://t.co/3DburYczkP"
917165607359049728,#PhilipBrailsford is a POS,RT @tango13foxtrot: @shomaristone #PhilipBrailsford is a POS.
633513627,We have seen the body cam footage of #DanielShaver being executed by #PhilipBrailsford Yet people wonder why some kneel,"RT @Adultingsux1: We have seen the body cam footage of #DanielShaver being executed by #PhilipBrailsford. Yet people wonder why some kneel,…"
2836046268,Try not to shoot any innocent civilians in any training accidents or whatever excuse you use these,@GilbertPolice Try not to shoot any innocent civilians in any “training accidents” or whatever excuse you use these… https://t.co/Lb38Njlm5y
757936726195179520,Officer #PhilipBrailsford IS A MURDERER,RT @EstebanEscamill: Officer #PhilipBrailsford IS A MURDERER. https://t.co/bm2s7LDwaI
32652452,Video Surfaces Showing Killer Cop #PhilipBrailsford Beating Up Teens Months Before He Murdered #DanielShaver,RT @BrassNucklez: Video Surfaces Showing Killer Cop #PhilipBrailsford Beating Up Teens Months Before He Murdered #DanielShaver: https://t.c…
76986079,Video Surfaces Showing Killer Cop #PhilipBrailsford Beating Up Teens Months Before He Murdered #DanielShaver,Video Surfaces Showing Killer Cop #PhilipBrailsford Beating Up Teens Months Before He Murdered #DanielShaver:… https://t.co/3QRDGLqqVI
27035289,This really should be shared#MesaPD already had warning signs video of #PhilipBrailsford s violent tendencies,"This really should be shared
#MesaPD already had warning signs &amp; video of #PhilipBrailsford ‘s violent tendencies &amp;… https://t.co/9mZ9gdJ2Kp"
3008338868,What a fucking piece of shit #PhilipBrailsford is I can't believe this man still breathes the same oxygen we,@TMZ What a fucking piece of shit #PhilipBrailsford is. I can't believe this man still breathes the same oxygen we… https://t.co/bgFi5OEUix
103006596,Murderer #justicefordanielshaver #PhilipBrailsford keep it going,RT @PlatenburgA: Murderer. #justicefordanielshaver #PhilipBrailsford keep it going. https://t.co/mcksXFeLkh
3306385496,#Arizona Citizen Killer #PhilipBrailsford at his finest #NotGuilty #DanielShaver,#Arizona Citizen Killer #PhilipBrailsford at his finest.. @MesaPD #NotGuilty #DanielShaver https://t.co/FIJeWnxNbp
843519506249138177,#PhilipBrailsford cop who murdered #DanielShaver showed CLEAR SIGNS of #STEROID use eve,"RT @datahoarse: @CNN @FOX @ABC @VICE @NBC @CBSNews #PhilipBrailsford, cop who murdered #DanielShaver showed CLEAR SIGNS of #STEROID use eve…"
733493307788169222,#PhilipBrailsford cop who murdered #DanielShaver in cold blood had history of abusing citizens Here is video of him hitti,"RT @datahoarse: #PhilipBrailsford, cop who murdered #DanielShaver in cold blood had history of abusing citizens. Here is video of him hitti…"
925142648117219328,#PhilipBrailsford cop who murdered #DanielShaver showed CLEAR SIGNS of #STEROID,"@CNN @FOX @ABC @VICE @NBC @CBSNews #PhilipBrailsford, cop who murdered #DanielShaver showed CLEAR SIGNS of #STEROID… https://t.co/tgykCOlucd"
1020579822,The acquittal of #PhilipBrailsford in the shooting of #DanielShaver is absolute insanity I have seen the video unfort,RT @ItsHeckinChris: The acquittal of #PhilipBrailsford in the shooting of #DanielShaver is absolute insanity. I have seen the video (unfort…
925142648117219328,You are right terrorists treated with more respect/decency This cop #PhilipBrailsford clearly enjoy,"@DavidAFrench You are right terrorists treated with more respect/decency. This cop, #PhilipBrailsford clearly enjoy… https://t.co/U1U0hEXvbm"
