user_id,trimmed_tweet,original_tweet
98349644,That sucks but you could also just accept #Bitcoin or #Litecoin,@Shirtwascash @ethereum @Shopify @ShopifySupport @ShopifyPartners That sucks but you could also just accept #Bitcoin or #Litecoin :)
851807346296672257,#Blockchain beginner Facts #Bitcoin has 10 minute block timing #Litecoin is 2 5 minutes #DigiByte has 15 second block,RT @DigiByteCoin: #Blockchain beginner Facts: #Bitcoin has 10 minute block timing. #Litecoin is 2.5 minutes &amp; #DigiByte has 15 second block…
779616984086577152,#ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum you have #ICN waiting for the taking,"RT @JackLombardi: #ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum , you have #ICN waiting for the taking."
3364198557,#ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum you have #ICN waiting for the taking,"RT @JackLombardi: #ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum , you have #ICN waiting for the taking."
443111440,#ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum you have #ICN waiting for the taking,"RT @JackLombardi: #ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum , you have #ICN waiting for the taking."
556562840,#ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum you have #ICN waiting for the taking,"RT @JackLombardi: #ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum , you have #ICN waiting for the taking."
1067288942,#ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum you have #ICN waiting for the taking,"RT @JackLombardi: #ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum , you have #ICN waiting for the taking."
42789078,#ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum you have #ICN waiting for the taking,"RT @JackLombardi: #ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum , you have #ICN waiting for the taking."
1421400300,Retweet if you want to see #Litecoin hit 500 USD by Christmas,RT @GainsDayTrades: Retweet if you want to see #Litecoin hit 500 USD by Christmas!!!!!! @LitecoinNewsCOM https://t.co/YxnVMukvCa
940571596351266817,WOW #Litecoin almost hit $400 last night How to claim your #LTC1 Follow my account2 RETWEET3 REPLY with your litec,"RT @Lochm1807: WOW #Litecoin almost hit $400 last night..

How to claim your #LTC

1. Follow my account
2. RETWEET
3. REPLY with your litec…"
21843641,Officially an $LTC owner #Litecoin,Officially an $LTC owner #Litecoin
1964464284,#Litecoin will der bessere #Bitcoin sein Der Kurs ist 2017 um 8800% gestiegen Jetzt warnt der Grnder vor mglich,#Litecoin will der bessere #Bitcoin sein. Der Kurs ist 2017 um 8800% gestiegen. Jetzt warnt der Gründer vor möglich… https://t.co/2hSQJBwrIm
918182369416351745,We could see $1000 #litecoin in as little as 3 days Warren B,"RT @ORACLEofETH: We could see $1000 #litecoin in as little as 3 days..

-Warren B"
293821727,#Bitcoin is the S&ampP 500 #Ethereum is the Russell 2000 and you can't imagine who they're comparing #Litecoin to What do yo,"RT @FarmaTrust: #Bitcoin is the S&amp;P 500, #Ethereum is the Russell 2000 and you can't imagine who they're comparing #Litecoin to! What do yo…"
3342750563,#ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum you have #ICN waiting for the taking,"RT @JackLombardi: #ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum , you have #ICN waiting for the taking."
845354727072288768,Trouble sleeping Who can relate to this#Cryptocurrency #Bitcoin #Ethereum #Litecoin #crypto #Neo #zcoin,"RT @CryptoVictory: Trouble sleeping? Who can relate to this?
#Cryptocurrency  #Bitcoin #Ethereum #Litecoin #crypto #Neo #zcoin https://t.co…"
19915647,How I Learned AboutLitecoin aka LIT COIN #litecoin #ltc,"@SquawkCNBC @KennethLFisher How I Learned About
🌋🚀Litecoin aka LIT COIN 🔥🚀 https://t.co/3oqfyy9iRs #litecoin #ltc… https://t.co/2IMnsyAMvu"
3373519679,Follow back for #cryptocurrency #litecoin #news and a chance to win #Bitcoin #BTC Collectable Given to one lucky winner Fo,RT @sarabwest: Follow back for #cryptocurrency #litecoin #news and a chance to win #Bitcoin #BTC Collectable. Given to one lucky winner. Fo…
539815948,#ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum you have #ICN waiting for the taking,"RT @JackLombardi: #ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum , you have #ICN waiting for the taking."
1526406252,Bought 9500 #LITECOIN in 2013 for $2 75 each I will pick 10 random people who retweet this and give one to each of you,"RT @Daytrader213: Bought 9,500 #LITECOIN in 2013 for $2.75 each. I will pick 10 random people who retweet this and give one to each of you.…"
2782019809,#ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum you have #ICN waiting for the taking,"RT @JackLombardi: #ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum , you have #ICN waiting for the taking."
883002573929709568,CBOE and CME Group mulling #ethereum and #litecoin #futures #LTC #ETH #cryptocurrencies,RT @financemagnates: CBOE and CME Group mulling #ethereum and #litecoin #futures https://t.co/RvNVXMDP4a #LTC #ETH #cryptocurrencies https:…
348675579,Now that Ive solved all her mysteries which will be explained in detail in my upcoming book #SolvingMonaLisa th,"Now that I’ve solved all her mysteries (which will be explained in detail in my upcoming book #SolvingMonaLisa), th… https://t.co/ChnV9B9hyr"
822244212,KEEP LOADING #LTC #litecoin folks Christmas surprise #cnbc #bloomberg #thestreet #wallstreetjournal #nfl #nba,KEEP LOADING #LTC #litecoin folks. Christmas surprise? #cnbc #bloomberg #thestreet #wallstreetjournal #nfl #nba… https://t.co/CMB7H4wBQs
937643670999785472,Bought 9500 #LITECOIN in 2013 for $2 75 each I will pick 10 random people who retweet this and give one to each of you,"RT @Daytrader213: Bought 9,500 #LITECOIN in 2013 for $2.75 each. I will pick 10 random people who retweet this and give one to each of you.…"
2810740489,#ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum you have #ICN waiting for the taking,"RT @JackLombardi: #ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum , you have #ICN waiting for the taking."
880599973712285697,$LTC getting ready for wave 5 $crypto $btc #crypto #ltc #litecoin #bitcoin #altcoins,RT @CryptoRonaldo7: $LTC getting ready for wave 5? $crypto $btc #crypto #ltc #litecoin #bitcoin #altcoins https://t.co/DrOiTiHRGd
922234745479577600,Last week I told my subscribers #litecoin was a strong buy Then LTC decided to break a 02 btc/ltc ratio Subscribe be,"RT @TheLiteschool: Last week, I told my subscribers #litecoin was a strong buy. Then LTC decided to break a .02 btc/ltc ratio! Subscribe be…"
632617526,#ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum you have #ICN waiting for the taking,"RT @JackLombardi: #ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum , you have #ICN waiting for the taking."
79767515,#ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum you have #ICN waiting for the taking,"RT @JackLombardi: #ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum , you have #ICN waiting for the taking."
915101758443147264,#Blockchain beginner Facts #Bitcoin has 10 minute block timing #Litecoin is 2 5 minutes #DigiByte has 15 second block,RT @DigiByteCoin: #Blockchain beginner Facts: #Bitcoin has 10 minute block timing. #Litecoin is 2.5 minutes &amp; #DigiByte has 15 second block…
932046802680938496,#Litecoin is gearing up for a strong move to the $400 level Hold strong mass adoption and expansion will take place a,RT @LitecoinNewsCOM: #Litecoin is gearing up for a strong move to the $400 level. Hold strong mass adoption and expansion will take place a…
2234884237,#ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum you have #ICN waiting for the taking,"RT @JackLombardi: #ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum , you have #ICN waiting for the taking."
767409464,#ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum you have #ICN waiting for the taking,"RT @JackLombardi: #ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum , you have #ICN waiting for the taking."
1249874917,#ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum you have #ICN waiting for the taking,"RT @JackLombardi: #ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum , you have #ICN waiting for the taking."
215720536,#ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum you have #ICN waiting for the taking,"RT @JackLombardi: #ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum , you have #ICN waiting for the taking."
273178634,#ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum you have #ICN waiting for the taking,"RT @JackLombardi: #ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum , you have #ICN waiting for the taking."
2585749957,#ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum you have #ICN waiting for the taking,"RT @JackLombardi: #ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum , you have #ICN waiting for the taking."
39557356,I've already lost $ 54 What is happening It's been an hour #Litecoin #NoFret,I've already lost $.54! What is happening! It's been an hour. #Litecoin #NoFret
1868520031,Ray Dalio on Bitcoin and What It Means To Him #Bitcoin #Investing #Ethereum #Litecoin,"Ray Dalio on Bitcoin and What It Means To Him https://t.co/NK4fYoU9G0

#RayDalio #Bitcoin #Investing #Ethereum #Litecoin"
883838127110053888,In the last few days I just got priced out of my #christmasgifts because #Litecoin went nuts Deserves me right f,"In the last few days I just got priced out of my #christmasgifts because #Litecoin went nuts. 

Deserves me right f… https://t.co/osYkrzdDLU"
906285051553472513,#Blockchain beginner Facts #Bitcoin has 10 minute block timing #Litecoin is 2 5 minutes #DigiByte has 15 second block,RT @DigiByteCoin: #Blockchain beginner Facts: #Bitcoin has 10 minute block timing. #Litecoin is 2.5 minutes &amp; #DigiByte has 15 second block…
838048615310442496,Is #Litecoin a better investment than #Bitcoin Can #Litecoin becomes the future of #Cryptocurrency Read expert analys,RT @Bitcoin_Bullet: Is #Litecoin a better investment than #Bitcoin? Can #Litecoin becomes the future of #Cryptocurrency? Read expert analys…
932046802680938496,We got our #Litecoin $LTC dip looks like we're gearing up for more pumping Keep an eye on the 4hr making a nice break,RT @Fab00se: We got our #Litecoin $LTC dip looks like we're gearing up for.... more pumping?! 😂 Keep an eye on the 4hr making a nice break…
338805805,#ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum you have #ICN waiting for the taking,"RT @JackLombardi: #ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum , you have #ICN waiting for the taking."
629528862,#ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum you have #ICN waiting for the taking,"RT @JackLombardi: #ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum , you have #ICN waiting for the taking."
864350886562152449,#Litecoin #Bitcoin #Ethereum,"#Litecoin #Bitcoin #Ethereum 
https://t.co/rE2F9wmeVq"
23324405,Well that #litecoin investment 2 weeks ago paid off,"Well, that #litecoin investment 2 weeks ago paid off 👀🚀"
600944454,#ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum you have #ICN waiting for the taking,"RT @JackLombardi: #ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum , you have #ICN waiting for the taking."
939758562,#ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum you have #ICN waiting for the taking,"RT @JackLombardi: #ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum , you have #ICN waiting for the taking."
431672155,Last week I told my subscribers #litecoin was a strong buy Then LTC decided to break a 02 btc/ltc ratio Subscribe be,"RT @TheLiteschool: Last week, I told my subscribers #litecoin was a strong buy. Then LTC decided to break a .02 btc/ltc ratio! Subscribe be…"
621241571,Its the future #Litecoin,RT @ltc: It’s the future #Litecoin https://t.co/f4rJHbugzk
909980590337699840,Last week I told my subscribers #litecoin was a strong buy Then LTC decided to break a 02 btc/ltc ratio Subscri,"Last week, I told my subscribers #litecoin was a strong buy. Then LTC decided to break a .02 btc/ltc ratio! Subscri… https://t.co/GFj33tfHoR"
723943504527933440,#ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum you have #ICN waiting for the taking,"RT @JackLombardi: #ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum , you have #ICN waiting for the taking."
2887759961,ICO IS LIVE NOW $rec $eth $btc $BCC $LTC $BCH $VIB $NEO $OMG $STEEM $WTC $XVG $VTC,"ICO IS LIVE NOW https://t.co/ug2MX04cO1
$alts $rec $eth $btc $BCC $LTC $BCH $VIB $NEO $OMG $STEEM $WTC $XVG $VTC… https://t.co/qLIeZyrLZF"
897067174749188096,referral linkGet free daily 11 types of bitcoins from doing nothing and download the app,"https://t.co/0xFLPR8qZJ (referral link)
Get free daily 11 types of bitcoins from doing nothing and download the app… https://t.co/tyQXWe4IUb"
194232480,Faster exchanges more reasonably priced right now looking forward to when I'm trading #litecoin at #WholeFoods,"@TIME @SatoshiLite 
 
Faster exchanges, more reasonably priced right now, looking forward to when I'm trading #litecoin at #WholeFoods"
105892164,#Ether and #litecoin the second and fourth biggest cryptocurrencies are surging to alltime highs,"RT @FinancialXpress: #Ether and #litecoin, the second and fourth biggest cryptocurrencies, are surging to all-time highs https://t.co/4VeXW…"
14508177,Sell It Here Mike Novogratz Bearish After #Litecoin Price Surge,‘Sell It Here’: Mike Novogratz Bearish After #Litecoin Price Surge https://t.co/ceiMUQql6Z
3137465510,LTC Real Time Price 1 Litecoin 330 77 USD #GDAX Follow us for regular updates #litecoin $LTC,[LTC Real Time Price] 1 Litecoin = 330.77 USD #GDAX. Follow us for regular updates. #litecoin $LTC
864350886562152449,#Bitcoin #Litecoin #Ethereum,"#Bitcoin #Litecoin #Ethereum 
https://t.co/DwKdseeDQD"
1963957507,#ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum you have #ICN waiting for the taking,"RT @JackLombardi: #ICN #ICONOMI when everything this high #Bitcoin #Litecoin and #Ethereum , you have #ICN waiting for the taking."
